BAG,GROUP,COHORT,TREATMENT,SIZE-CLASS,BAG-WEIGHT,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27
AVERAGE,NF6-AMB ,NF,6-AMB,AVERAGE,NA,18.33,5.17,9.06,11.26,6.85,13,10.07,3,12.6,8.37,9.37,8.9,5.27,8.12,11.16,11.24,10.43,9.86,7,6.46,5.88,7.72,4.05,4.55,3,3.52,
AVERAGE,NF6-LOW,NF,6-AMB,AVERAGE,NA,17.37,12.1,4.48,3.85,6.46,3.82,10.47,14.41,9.36,6.64,5.54,10.44,9,9.75,4.23,3.4,5.3,10.91,4.69,3.94,3.2,3,6.66,6.32,6.22,3.73,4.52
1,NF6-AMB ,NF,6-AMB,LARGE,3.4, 9.56 , 10.01 , 9.15 , 12.91 , 9.75 , 9.56 , 10.68 , 11.20 , 9.01 , 16.34 , 9.98 , 14.22 , 17.23 , 10.61 , 13.51 ,,,,,,,,,,,,
2,NF6-AMB ,NF,6-AMB,LARGE,2.7, 13.00 , 13.36 , 9.76 , 9.30 , 11.32 , 11.52 , 9.80 , 11.31 , 9.68 , 11.05 , 10.27 , 8.89 , 11.99 , 14.63 , 11.51 ,,,,,,,,,,,,
3,NF6-AMB ,NF,6-AMB,LARGE,2.7, 13.00 , 12.17 , 11.43 , 11.52 , 11.95 , 9.19 , 9.22 , 10.96 , 9.83 , 9.53 , 9.89 , 9.54 , 12.70 , 12.83 , 14.00 ,,,,,,,,,,,,
4,NF6-AMB ,NF,6-AMB,LARGE,3.1, 12.83 , 14.45 , 12.57 , 14.20 , 12.49 , 10.15 , 11.82 , 9.24 , 9.23 , 9.14 , 8.95 , 13.85 , 12.54 , 13.50 , 15.53 ,,,,,,,,,,,,
5,NF6-AMB ,NF,6-AMB,LARGE,3, 11.71 , 14.01 , 12.74 , 10.81 , 13.23 , 12.99 , 9.92 , 9.92 , 10.28 , 12.92 , 10.24 , 9.22 , 9.20 , 15.15 , 12.28 ,,,,,,,,,,,,
6,NF6-AMB ,NF,6-AMB,LARGE,2.7, 13.63 , 15.21 , 12.48 , 9.91 , 11.21 , 10.66 , 9.04 , 9.58 , 9.20 , 9.05 , 12.83 , 10.73 , 10.75 , 9.54 , 9.00 ,,,,,,,,,,,,
7,NF6-AMB ,NF,6-AMB,SMALL,0.7, 7.18 , 6.87 , 5.72 , 4.77 , 4.34 , 5.12 , 7.34 , 5.69 , 7.81 , 7.14 , 7.45 , 8.17 , 7.71 , 6.17 , 6.68 ,,,,,,,,,,,,
8,NF6-AMB ,NF,6-AMB,SMALL,0.6, 6.38 , 6.04 , 6.16 , 5.59 , 5.46 , 4.78 , 4.58 , 5.46 , 6.63 , 7.29 , 7.37 , 8.09 , 7.50 , 5.41 , 7.99 ,,,,,,,,,,,,
